Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Active Cases	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Turkey vs Rest of the World
Afghanistan	Afghanistan	33.0	65.0	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Albania	Albania	41.1533	20.1683	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Algeria	Algeria	28.0339	1.6596	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Andorra	Andorra	42.5063	1.5218	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Angola	Angola	-11.2027	17.8739	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Antigua and Barbuda	Antigua and Barbuda	17.0608	-61.7964	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Argentina	Argentina	-38.4161	-63.6167	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Armenia	Armenia	40.0691	45.0382	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Australian Capital Territory	Australia	-35.4735	149.0124	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
New South Wales	Australia	-33.8688	151.2093	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Northern Territory	Australia	-12.4634	130.8456	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Queensland	Australia	-28.0167	153.4	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
South Australia	Australia	-34.9285	138.6007	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Tasmania	Australia	-41.4545	145.9707	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Victoria	Australia	-37.8136	144.9631	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Western Australia	Australia	-31.9505	115.8605	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Austria	Austria	47.5162	14.5501	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Azerbaijan	Azerbaijan	40.1431	47.5769	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bahamas	Bahamas	25.0343	-77.3963	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bahrain	Bahrain	26.0275	50.55	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bangladesh	Bangladesh	23.685	90.3563	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Barbados	Barbados	13.1939	-59.5432	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Belarus	Belarus	53.7098	27.9534	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Belgium	Belgium	50.8333	4.0	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Benin	Benin	9.3077	2.3158	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bhutan	Bhutan	27.5142	90.4336	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bolivia	Bolivia	-16.2902	-63.5887	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bosnia and Herzegovina	Bosnia and Herzegovina	43.9159	17.6791	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Brazil	Brazil	-14.235	-51.9253	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Brunei	Brunei	4.5353	114.7277	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bulgaria	Bulgaria	42.7339	25.4858	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Burkina Faso	Burkina Faso	12.2383	-1.5616	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cabo Verde	Cabo Verde	16.5388	-23.0418	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cambodia	Cambodia	11.55	104.9167	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cameroon	Cameroon	3.8480000000000003	11.5021	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Alberta	Canada	53.9333	-116.5765	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Columbia	Canada	49.2827	-123.1207	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Grand Princess	Canada	37.6489	-122.6655	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Manitoba	Canada	53.7609	-98.8139	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
New Brunswick	Canada	46.5653	-66.4619	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Newfoundland and Labrador	Canada	53.1355	-57.6604	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Nova Scotia	Canada	44.681999999999995	-63.7443	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Ontario	Canada	51.2538	-85.3232	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Prince Edward Island	Canada	46.5107	-63.4168	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Quebec	Canada	52.9399	-73.5491	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Saskatchewan	Canada	52.9399	-106.4509	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Central African Republic	Central African Republic	6.6111	20.9394	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Chad	Chad	15.4542	18.7322	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Chile	Chile	-35.6751	-71.543	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anhui	China	31.8257	117.2264	2020-01-22	1	0	0	1	Jan-20	1	0	0	Rest of the World
Beijing	China	40.1824	116.4142	2020-01-22	14	0	0	14	Jan-20	14	0	0	Rest of the World
Chongqing	China	30.0572	107.874	2020-01-22	6	0	0	6	Jan-20	6	0	0	Rest of the World
