Date	Confirmed	Recovered	Deaths	Increase rate	Active Cases	Month-Year	Confirmed Daily	Recovered Daily	Deaths Daily
2020-01-22	555	28	17	0.0	510	Jan-20	555	28	17
2020-01-23	654	30	18	17.83783783783784	606	Jan-20	99	2	1
2020-01-24	941	36	26	43.883792048929664	879	Jan-20	287	6	8
2020-01-25	1434	39	42	52.39107332624867	1353	Jan-20	493	3	16
2020-01-26	2118	52	56	47.69874476987448	2010	Jan-20	684	13	14
2020-01-27	2927	61	82	38.196411709159584	2784	Jan-20	809	9	26
2020-01-28	5578	107	131	90.57055005124701	5340	Jan-20	2651	46	49
2020-01-29	6166	126	133	10.541412692721403	5907	Jan-20	588	19	2
2020-01-30	8234	143	171	33.53876094712942	7920	Jan-20	2068	17	38
2020-01-31	9927	222	213	20.5610881709983	9492	Jan-20	1693	79	42
2020-02-01	12038	284	259	21.265236224438397	11495	Feb-20	2111	62	46
2020-02-02	16787	472	362	39.45007476324971	15953	Feb-20	4749	188	103
2020-02-03	19881	623	426	18.43092869482337	18832	Feb-20	3094	151	64
2020-02-04	23892	852	492	20.175041496906594	22548	Feb-20	4011	229	66
2020-02-05	27635	1124	564	15.66633182655282	25947	Feb-20	3743	272	72
2020-02-06	30794	1487	634	11.431156142572824	28673	Feb-20	3159	363	70
2020-02-07	34391	2011	719	11.680846918230824	31661	Feb-20	3597	524	85
2020-02-08	37120	2616	806	7.935215608734843	33698	Feb-20	2729	605	87
2020-02-09	40150	3244	906	8.162715517241379	36000	Feb-20	3030	628	100
2020-02-10	42762	3946	1013	6.505603985056039	37803	Feb-20	2612	702	107
2020-02-11	44802	4683	1113	4.770590711379262	39006	Feb-20	2040	737	100
2020-02-12	45221	5150	1118	0.9352261059774116	38953	Feb-20	419	467	5
2020-02-13	60368	6295	1371	33.49549987837509	52702	Feb-20	15147	1145	253
2020-02-14	66885	8058	1523	10.795454545454543	57304	Feb-20	6517	1763	152
2020-02-15	69030	9395	1666	3.206997084548105	57969	Feb-20	2145	1337	143
2020-02-16	71224	10865	1770	3.1783282630740253	58589	Feb-20	2194	1470	104
2020-02-17	73258	12583	1868	2.855778950915422	58807	Feb-20	2034	1718	98
2020-02-18	75136	14352	2007	2.5635425482541154	58777	Feb-20	1878	1769	139
2020-02-19	75639	16121	2122	0.6694527257240205	57396	Feb-20	503	1769	115
2020-02-20	76197	18177	2247	0.7377146710030541	55773	Feb-20	558	2056	125
2020-02-21	76819	18890	2251	0.8163051038754806	55678	Feb-20	622	713	4
2020-02-22	78572	22886	2458	2.281987529126909	53228	Feb-20	1753	3996	207
2020-02-23	78958	23394	2469	0.4912691544061498	53095	Feb-20	386	508	11
2020-02-24	79525	25227	2629	0.7181032954228831	51669	Feb-20	567	1833	160
2020-02-25	80372	27905	2708	1.0650738761395788	49759	Feb-20	847	2678	79
2020-02-26	81346	30384	2770	1.2118648285472553	48192	Feb-20	974	2479	62
2020-02-27	82704	33277	2814	1.6694121407321811	46613	Feb-20	1358	2893	44
2020-02-28	84070	36711	2872	1.6516734378022833	44487	Feb-20	1366	3434	58
2020-02-29	85967	39782	2941	2.2564529558701083	43244	Feb-20	1897	3071	69
2020-03-01	88325	42716	2996	2.742912978235835	42613	Mar-20	2358	2934	55
2020-03-02	90262	45602	3085	2.1930370789697142	41575	Mar-20	1937	2886	89
2020-03-03	92795	48228	3160	2.8062750659192126	41407	Mar-20	2533	2626	75
2020-03-04	95075	51170	3254	2.45702893474864	40651	Mar-20	2280	2942	94
2020-03-05	97844	53796	3347	2.9124375493031818	40701	Mar-20	2769	2626	93
2020-03-06	101761	55865	3459	4.00331139364703	42437	Mar-20	3917	2069	112
2020-03-07	105782	58359	3558	3.9514155717809376	43865	Mar-20	4021	2494	99
2020-03-08	109754	60694	3801	3.7548921366584103	45259	Mar-20	3972	2335	243
2020-03-09	113536	62493	3987	3.4458880769721376	47056	Mar-20	3782	1799	186
2020-03-10	118375	64404	4263	4.262084272829763	49708	Mar-20	4839	1911	276
2020-03-11	125704	67002	4610	6.191341077085532	54092	Mar-20	7329	2598	347
2020-03-12	130909	68323	4913	4.140679691974799	57673	Mar-20	5205	1321	303
2020-03-13	145204	70250	5411	10.91979924986059	69543	Mar-20	14295	1927	498
2020-03-14	156283	72621	5831	7.629955097655713	77831	Mar-20	11079	2371	420
2020-03-15	167022	76031	6471	6.871508737354669	84520	Mar-20	10739	3410	640
2020-03-16	181452	78085	7151	8.639580414556166	96216	Mar-20	14430	2054	680
2020-03-17	196917	80837	7957	8.522915151114344	108123	Mar-20	15465	2752	806
2020-03-18	216161	83320	8852	9.77264532772691	123989	Mar-20	19244	2483	895
2020-03-19	243084	84957	9958	12.455068213044909	148169	Mar-20	26923	1637	1106
2020-03-20	272698	87402	11439	12.182619999670894	173857	Mar-20	29614	2445	1481
2020-03-21	304844	91666	13141	11.788131926160073	200037	Mar-20	32146	4264	1702
2020-03-22	337597	97881	14840	10.744183910459121	224876	Mar-20	32753	6215	1699
2020-03-23	378381	98346	16758	12.080676072358465	263277	Mar-20	40784	465	1918
2020-03-24	418569	107985	19026	10.621040697075172	291558	Mar-20	40188	9639	2268
2020-03-25	468155	113768	21799	11.84655337590696	332588	Mar-20	49586	5783	2773
2020-03-26	530138	122133	24800	13.239845777573668	383205	Mar-20	61983	8365	3001
2020-03-27	594178	130902	28308	12.079873542360668	434968	Mar-20	64040	8769	3508
2020-03-28	661544	139396	31990	11.337679954491751	490158	Mar-20	67366	8494	3682
2020-03-29	720695	148863	35456	8.94135537469919	536376	Mar-20	59151	9467	3466
2020-03-30	783580	164300	39604	8.725605145033612	579676	Mar-20	62885	15437	4148
2020-03-31	858317	177786	44440	9.53789019627862	636091	Mar-20	74737	13486	4836
