Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Active Cases	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Turkey vs Rest of the World
Iran	Iran	32.0	53.0	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-27	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-28	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-29	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-30	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-01-31	0	0	0	0	Jan-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-01	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-02	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-03	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-04	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-05	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-06	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-07	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-08	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-09	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-10	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-11	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-12	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-13	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-14	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-15	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-16	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-17	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-18	0	0	0	0	Feb-20	0	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-19	2	2	0	0	Feb-20	2	2	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-20	5	2	0	3	Feb-20	3	0	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-21	18	4	0	14	Feb-20	13	2	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-22	28	5	0	23	Feb-20	10	1	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-23	43	8	0	35	Feb-20	15	3	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-24	61	12	0	49	Feb-20	18	4	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-25	95	16	0	79	Feb-20	34	4	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-26	139	19	49	71	Feb-20	44	3	49	Rest of the World
Iran	Iran	32.0	53.0	2020-02-27	245	26	49	170	Feb-20	106	7	0	Rest of the World
Iran	Iran	32.0	53.0	2020-02-28	388	34	73	281	Feb-20	143	8	24	Rest of the World
Iran	Iran	32.0	53.0	2020-02-29	593	43	123	427	Feb-20	205	9	50	Rest of the World
Iran	Iran	32.0	53.0	2020-03-01	978	54	175	749	Mar-20	385	11	52	Rest of the World
Iran	Iran	32.0	53.0	2020-03-02	1501	66	291	1144	Mar-20	523	12	116	Rest of the World
Iran	Iran	32.0	53.0	2020-03-03	2336	77	291	1968	Mar-20	835	11	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-04	2922	92	552	2278	Mar-20	586	15	261	Rest of the World
Iran	Iran	32.0	53.0	2020-03-05	3513	107	739	2667	Mar-20	591	15	187	Rest of the World
Iran	Iran	32.0	53.0	2020-03-06	4747	124	913	3710	Mar-20	1234	17	174	Rest of the World
Iran	Iran	32.0	53.0	2020-03-07	5823	145	1669	4009	Mar-20	1076	21	756	Rest of the World
Iran	Iran	32.0	53.0	2020-03-08	6566	194	2134	4238	Mar-20	743	49	465	Rest of the World
Iran	Iran	32.0	53.0	2020-03-09	7161	237	2394	4530	Mar-20	595	43	260	Rest of the World
Iran	Iran	32.0	53.0	2020-03-10	8042	291	2731	5020	Mar-20	881	54	337	Rest of the World
Iran	Iran	32.0	53.0	2020-03-11	9000	354	2959	5687	Mar-20	958	63	228	Rest of the World
Iran	Iran	32.0	53.0	2020-03-12	10075	429	2959	6687	Mar-20	1075	75	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-13	11364	514	2959	7891	Mar-20	1289	85	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-14	12729	611	2959	9159	Mar-20	1365	97	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-15	13938	724	4590	8624	Mar-20	1209	113	1631	Rest of the World
Iran	Iran	32.0	53.0	2020-03-16	14991	853	4590	9548	Mar-20	1053	129	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-17	16169	988	5389	9792	Mar-20	1178	135	799	Rest of the World
Iran	Iran	32.0	53.0	2020-03-18	17361	1135	5389	10837	Mar-20	1192	147	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-19	18407	1284	5710	11413	Mar-20	1046	149	321	Rest of the World
Iran	Iran	32.0	53.0	2020-03-20	19644	1433	6745	11466	Mar-20	1237	149	1035	Rest of the World
Iran	Iran	32.0	53.0	2020-03-21	20610	1556	7635	11419	Mar-20	966	123	890	Rest of the World
Iran	Iran	32.0	53.0	2020-03-22	21638	1685	7931	12022	Mar-20	1028	129	296	Rest of the World
Iran	Iran	32.0	53.0	2020-03-23	23049	1812	7931	13306	Mar-20	1411	127	0	Rest of the World
Iran	Iran	32.0	53.0	2020-03-24	24811	1934	8913	13964	Mar-20	1762	122	982	Rest of the World
Iran	Iran	32.0	53.0	2020-03-25	27017	2077	9625	15315	Mar-20	2206	143	712	Rest of the World
Iran	Iran	32.0	53.0	2020-03-26	29406	2234	10457	16715	Mar-20	2389	157	832	Rest of the World
Iran	Iran	32.0	53.0	2020-03-27	32332	2378	11133	18821	Mar-20	2926	144	676	Rest of the World
Iran	Iran	32.0	53.0	2020-03-28	35408	2517	11679	21212	Mar-20	3076	139	546	Rest of the World
Iran	Iran	32.0	53.0	2020-03-29	38309	2640	12391	23278	Mar-20	2901	123	712	Rest of the World
Iran	Iran	32.0	53.0	2020-03-30	41495	2757	13911	24827	Mar-20	3186	117	1520	Rest of the World
Iran	Iran	32.0	53.0	2020-03-31	44605	2898	14656	27051	Mar-20	3110	141	745	Rest of the World
Iran	Iran	32.0	53.0	2020-04-01	47593	3036	15473	29084	Apr-20	2988	138	817	Rest of the World
Iran	Iran	32.0	53.0	2020-04-02	50468	3160	16711	30597	Apr-20	2875	124	1238	Rest of the World
Iran	Iran	32.0	53.0	2020-04-03	53183	3294	17935	31954	Apr-20	2715	134	1224	Rest of the World
Iran	Iran	32.0	53.0	2020-04-04	55743	3452	19736	32555	Apr-20	2560	158	1801	Rest of the World
Iran	Iran	32.0	53.0	2020-04-05	58226	3603	19736	34887	Apr-20	2483	151	0	Rest of the World
Iran	Iran	32.0	53.0	2020-04-06	60500	3739	24236	32525	Apr-20	2274	136	4500	Rest of the World
Iran	Iran	32.0	53.0	2020-04-07	62589	3872	27039	31678	Apr-20	2089	133	2803	Rest of the World
Iran	Iran	32.0	53.0	2020-04-08	64586	3993	29812	30781	Apr-20	1997	121	2773	Rest of the World
Iran	Iran	32.0	53.0	2020-04-09	66220	4110	32309	29801	Apr-20	1634	117	2497	Rest of the World
Iran	Iran	32.0	53.0	2020-04-10	68192	4232	35465	28495	Apr-20	1972	122	3156	Rest of the World
Iran	Iran	32.0	53.0	2020-04-11	70029	4357	41947	23725	Apr-20	1837	125	6482	Rest of the World
Iran	Iran	32.0	53.0	2020-04-12	71686	4474	43894	23318	Apr-20	1657	117	1947	Rest of the World
Iran	Iran	32.0	53.0	2020-04-13	73303	4585	45983	22735	Apr-20	1617	111	2089	Rest of the World
Iran	Iran	32.0	53.0	2020-04-14	74877	4683	48129	22065	Apr-20	1574	98	2146	Rest of the World
Iran	Iran	32.0	53.0	2020-04-15	76389	4777	49933	21679	Apr-20	1512	94	1804	Rest of the World
Iran	Iran	32.0	53.0	2020-04-16	77995	4869	52229	20897	Apr-20	1606	92	2296	Rest of the World
Iran	Iran	32.0	53.0	2020-04-17	79494	4958	54064	20472	Apr-20	1499	89	1835	Rest of the World
Iran	Iran	32.0	53.0	2020-04-18	80868	5031	55987	19850	Apr-20	1374	73	1923	Rest of the World
Iran	Iran	32.0	53.0	2020-04-19	82211	5118	57023	20070	Apr-20	1343	87	1036	Rest of the World
