Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Active Cases	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Turkey vs Rest of the World
Italy	Italy	43.0	12.0	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-27	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-28	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-29	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-30	0	0	0	0	Jan-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-01-31	2	0	0	2	Jan-20	2	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-01	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-02	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-03	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-04	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-05	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-06	2	0	0	2	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-07	3	0	0	3	Feb-20	1	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-08	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-09	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-10	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-11	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-12	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-13	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-14	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-15	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-16	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-17	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-18	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-19	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-20	3	0	0	3	Feb-20	0	0	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-21	20	1	0	19	Feb-20	17	1	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-22	62	2	1	59	Feb-20	42	1	1	Rest of the World
Italy	Italy	43.0	12.0	2020-02-23	155	3	2	150	Feb-20	93	1	1	Rest of the World
Italy	Italy	43.0	12.0	2020-02-24	229	7	1	221	Feb-20	74	4	-1	Rest of the World
Italy	Italy	43.0	12.0	2020-02-25	322	10	1	311	Feb-20	93	3	0	Rest of the World
Italy	Italy	43.0	12.0	2020-02-26	453	12	3	438	Feb-20	131	2	2	Rest of the World
Italy	Italy	43.0	12.0	2020-02-27	655	17	45	593	Feb-20	202	5	42	Rest of the World
Italy	Italy	43.0	12.0	2020-02-28	888	21	46	821	Feb-20	233	4	1	Rest of the World
Italy	Italy	43.0	12.0	2020-02-29	1128	29	46	1053	Feb-20	240	8	0	Rest of the World
Italy	Italy	43.0	12.0	2020-03-01	1694	34	83	1577	Mar-20	566	5	37	Rest of the World
Italy	Italy	43.0	12.0	2020-03-02	2036	52	149	1835	Mar-20	342	18	66	Rest of the World
Italy	Italy	43.0	12.0	2020-03-03	2502	79	160	2263	Mar-20	466	27	11	Rest of the World
Italy	Italy	43.0	12.0	2020-03-04	3089	107	276	2706	Mar-20	587	28	116	Rest of the World
Italy	Italy	43.0	12.0	2020-03-05	3858	148	414	3296	Mar-20	769	41	138	Rest of the World
Italy	Italy	43.0	12.0	2020-03-06	4636	197	523	3916	Mar-20	778	49	109	Rest of the World
Italy	Italy	43.0	12.0	2020-03-07	5883	233	589	5061	Mar-20	1247	36	66	Rest of the World
Italy	Italy	43.0	12.0	2020-03-08	7375	366	622	6387	Mar-20	1492	133	33	Rest of the World
Italy	Italy	43.0	12.0	2020-03-09	9172	463	724	7985	Mar-20	1797	97	102	Rest of the World
Italy	Italy	43.0	12.0	2020-03-10	10149	631	724	8794	Mar-20	977	168	0	Rest of the World
Italy	Italy	43.0	12.0	2020-03-11	12462	827	1045	10590	Mar-20	2313	196	321	Rest of the World
Italy	Italy	43.0	12.0	2020-03-12	15113	1016	1045	13052	Mar-20	2651	189	0	Rest of the World
Italy	Italy	43.0	12.0	2020-03-13	17660	1266	1439	14955	Mar-20	2547	250	394	Rest of the World
Italy	Italy	43.0	12.0	2020-03-14	21157	1441	1966	17750	Mar-20	3497	175	527	Rest of the World
Italy	Italy	43.0	12.0	2020-03-15	24747	1809	2335	20603	Mar-20	3590	368	369	Rest of the World
Italy	Italy	43.0	12.0	2020-03-16	27980	2158	2749	23073	Mar-20	3233	349	414	Rest of the World
Italy	Italy	43.0	12.0	2020-03-17	31506	2503	2941	26062	Mar-20	3526	345	192	Rest of the World
Italy	Italy	43.0	12.0	2020-03-18	35713	2978	4025	28710	Mar-20	4207	475	1084	Rest of the World
Italy	Italy	43.0	12.0	2020-03-19	41035	3405	4440	33190	Mar-20	5322	427	415	Rest of the World
Italy	Italy	43.0	12.0	2020-03-20	47021	4032	4440	38549	Mar-20	5986	627	0	Rest of the World
Italy	Italy	43.0	12.0	2020-03-21	53578	4825	6072	42681	Mar-20	6557	793	1632	Rest of the World
Italy	Italy	43.0	12.0	2020-03-22	59138	5476	7024	46638	Mar-20	5560	651	952	Rest of the World
Italy	Italy	43.0	12.0	2020-03-23	63927	6077	7024	50826	Mar-20	4789	601	0	Rest of the World
Italy	Italy	43.0	12.0	2020-03-24	69176	6820	8326	54030	Mar-20	5249	743	1302	Rest of the World
Italy	Italy	43.0	12.0	2020-03-25	74386	7503	9362	57521	Mar-20	5210	683	1036	Rest of the World
Italy	Italy	43.0	12.0	2020-03-26	80589	8215	10361	62013	Mar-20	6203	712	999	Rest of the World
Italy	Italy	43.0	12.0	2020-03-27	86498	9134	10950	66414	Mar-20	5909	919	589	Rest of the World
Italy	Italy	43.0	12.0	2020-03-28	92472	10023	12384	70065	Mar-20	5974	889	1434	Rest of the World
Italy	Italy	43.0	12.0	2020-03-29	97689	10779	13030	73880	Mar-20	5217	756	646	Rest of the World
Italy	Italy	43.0	12.0	2020-03-30	101739	11591	14620	75528	Mar-20	4050	812	1590	Rest of the World
Italy	Italy	43.0	12.0	2020-03-31	105792	12428	15729	77635	Mar-20	4053	837	1109	Rest of the World
Italy	Italy	43.0	12.0	2020-04-01	110574	13155	16847	80572	Apr-20	4782	727	1118	Rest of the World
Italy	Italy	43.0	12.0	2020-04-02	115242	13915	18278	83049	Apr-20	4668	760	1431	Rest of the World
Italy	Italy	43.0	12.0	2020-04-03	119827	14681	19758	85388	Apr-20	4585	766	1480	Rest of the World
Italy	Italy	43.0	12.0	2020-04-04	124632	15362	20996	88274	Apr-20	4805	681	1238	Rest of the World
Italy	Italy	43.0	12.0	2020-04-05	128948	15887	21815	91246	Apr-20	4316	525	819	Rest of the World
Italy	Italy	43.0	12.0	2020-04-06	132547	16523	22837	93187	Apr-20	3599	636	1022	Rest of the World
Italy	Italy	43.0	12.0	2020-04-07	135586	17127	24392	94067	Apr-20	3039	604	1555	Rest of the World
Italy	Italy	43.0	12.0	2020-04-08	139422	17669	26491	95262	Apr-20	3836	542	2099	Rest of the World
Italy	Italy	43.0	12.0	2020-04-09	143626	18279	28470	96877	Apr-20	4204	610	1979	Rest of the World
Italy	Italy	43.0	12.0	2020-04-10	147577	18849	30455	98273	Apr-20	3951	570	1985	Rest of the World
Italy	Italy	43.0	12.0	2020-04-11	152271	19468	32534	100269	Apr-20	4694	619	2079	Rest of the World
Italy	Italy	43.0	12.0	2020-04-12	156363	19899	34211	102253	Apr-20	4092	431	1677	Rest of the World
Italy	Italy	43.0	12.0	2020-04-13	159516	20465	35435	103616	Apr-20	3153	566	1224	Rest of the World
Italy	Italy	43.0	12.0	2020-04-14	162488	21067	37130	104291	Apr-20	2972	602	1695	Rest of the World
