Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Active Cases	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Turkey vs Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Channel Islands	United Kingdom	49.3723	-2.3644	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Gibraltar	United Kingdom	36.1408	-5.3536	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Isle of Man	United Kingdom	54.2361	-4.5481	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Montserrat	United Kingdom	16.7425	-62.1874	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
United Kingdom	United Kingdom	55.3781	-3.4360000000000004	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anguilla	United Kingdom	18.2206	-63.0686	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Virgin Islands	United Kingdom	18.4207	-64.64	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Turks and Caicos Islands	United Kingdom	21.69400000000001	-71.7979	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236	2020-01-22	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Channel Islands	United Kingdom	49.3723	-2.3644	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Gibraltar	United Kingdom	36.1408	-5.3536	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Isle of Man	United Kingdom	54.2361	-4.5481	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Montserrat	United Kingdom	16.7425	-62.1874	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
United Kingdom	United Kingdom	55.3781	-3.4360000000000004	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anguilla	United Kingdom	18.2206	-63.0686	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Virgin Islands	United Kingdom	18.4207	-64.64	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Turks and Caicos Islands	United Kingdom	21.69400000000001	-71.7979	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236	2020-01-23	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Channel Islands	United Kingdom	49.3723	-2.3644	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Gibraltar	United Kingdom	36.1408	-5.3536	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Isle of Man	United Kingdom	54.2361	-4.5481	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Montserrat	United Kingdom	16.7425	-62.1874	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
United Kingdom	United Kingdom	55.3781	-3.4360000000000004	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anguilla	United Kingdom	18.2206	-63.0686	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Virgin Islands	United Kingdom	18.4207	-64.64	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Turks and Caicos Islands	United Kingdom	21.69400000000001	-71.7979	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236	2020-01-24	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Channel Islands	United Kingdom	49.3723	-2.3644	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Gibraltar	United Kingdom	36.1408	-5.3536	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Isle of Man	United Kingdom	54.2361	-4.5481	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Montserrat	United Kingdom	16.7425	-62.1874	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
United Kingdom	United Kingdom	55.3781	-3.4360000000000004	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anguilla	United Kingdom	18.2206	-63.0686	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Virgin Islands	United Kingdom	18.4207	-64.64	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Turks and Caicos Islands	United Kingdom	21.69400000000001	-71.7979	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236	2020-01-25	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Channel Islands	United Kingdom	49.3723	-2.3644	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Gibraltar	United Kingdom	36.1408	-5.3536	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Isle of Man	United Kingdom	54.2361	-4.5481	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Montserrat	United Kingdom	16.7425	-62.1874	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
United Kingdom	United Kingdom	55.3781	-3.4360000000000004	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Anguilla	United Kingdom	18.2206	-63.0686	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
British Virgin Islands	United Kingdom	18.4207	-64.64	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Turks and Caicos Islands	United Kingdom	21.69400000000001	-71.7979	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Falkland Islands (Malvinas)	United Kingdom	-51.7963	-59.5236	2020-01-26	0	0	0	0	Jan-20	0	0	0	Rest of the World
Bermuda	United Kingdom	32.3078	-64.7505	2020-01-27	0	0	0	0	Jan-20	0	0	0	Rest of the World
Cayman Islands	United Kingdom	19.3133	-81.2546	2020-01-27	0	0	0	0	Jan-20	0	0	0	Rest of the World
