Province/State	Country/Region	Lat	Long	Date	Confirmed	Deaths	Recovered	Active Cases	Month-Year	Confirmed Daily	Deaths Daily	Recovered Daily	Turkey vs Rest of the World
US	US	37.0902	-95.7129	2020-01-22	1	0	0	1	Jan-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-23	1	0	0	1	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-24	2	0	0	2	Jan-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-25	2	0	0	2	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-26	5	0	0	5	Jan-20	3	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-27	5	0	0	5	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-28	5	0	0	5	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-29	5	0	0	5	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-30	5	0	0	5	Jan-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-01-31	7	0	0	7	Jan-20	2	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-01	8	0	0	8	Feb-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-02	8	0	0	8	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-03	11	0	0	11	Feb-20	3	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-04	11	0	0	11	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-05	11	0	0	11	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-06	11	0	0	11	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-07	11	0	0	11	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-08	11	0	0	11	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-09	11	0	3	8	Feb-20	0	0	3	Rest of the World
US	US	37.0902	-95.7129	2020-02-10	11	0	3	8	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-11	12	0	3	9	Feb-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-12	12	0	3	9	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-13	13	0	3	10	Feb-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-14	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-15	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-16	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-17	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-18	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-19	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-20	13	0	3	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-21	15	0	5	10	Feb-20	2	0	2	Rest of the World
US	US	37.0902	-95.7129	2020-02-22	15	0	5	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-23	15	0	5	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-24	15	0	5	10	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-25	15	0	6	9	Feb-20	0	0	1	Rest of the World
US	US	37.0902	-95.7129	2020-02-26	15	0	6	9	Feb-20	0	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-27	16	0	6	10	Feb-20	1	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-02-28	16	0	7	9	Feb-20	0	0	1	Rest of the World
US	US	37.0902	-95.7129	2020-02-29	24	1	7	16	Feb-20	8	1	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-01	30	1	7	22	Mar-20	6	0	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-02	53	6	7	40	Mar-20	23	5	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-03	73	7	7	59	Mar-20	20	1	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-04	104	11	7	86	Mar-20	31	4	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-05	174	12	7	155	Mar-20	70	1	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-06	222	14	7	201	Mar-20	48	2	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-07	337	17	7	313	Mar-20	115	3	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-08	451	21	7	423	Mar-20	114	4	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-09	519	22	7	490	Mar-20	68	1	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-10	711	28	8	675	Mar-20	192	6	1	Rest of the World
US	US	37.0902	-95.7129	2020-03-11	1109	32	8	1069	Mar-20	398	4	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-12	1561	43	12	1506	Mar-20	452	11	4	Rest of the World
US	US	37.0902	-95.7129	2020-03-13	2157	52	12	2093	Mar-20	596	9	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-14	2870	59	12	2799	Mar-20	713	7	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-15	2968	72	12	2884	Mar-20	98	13	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-16	4360	100	17	4243	Mar-20	1392	28	5	Rest of the World
US	US	37.0902	-95.7129	2020-03-17	6141	134	17	5990	Mar-20	1781	34	0	Rest of the World
US	US	37.0902	-95.7129	2020-03-18	8914	191	105	8618	Mar-20	2773	57	88	Rest of the World
US	US	37.0902	-95.7129	2020-03-19	14153	269	121	13763	Mar-20	5239	78	16	Rest of the World
US	US	37.0902	-95.7129	2020-03-20	19479	366	147	18966	Mar-20	5326	97	26	Rest of the World
US	US	37.0902	-95.7129	2020-03-21	25818	456	176	25186	Mar-20	6339	90	29	Rest of the World
US	US	37.0902	-95.7129	2020-03-22	33756	600	178	32978	Mar-20	7938	144	2	Rest of the World
