Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
USA,North America,330944050,2322810,25620,121873,466,963468,7407,1237469,16526,7019,368,27754121,83863
Brazil,South America,212512836,1043168,4600,49156,66,543186,22826,450826,8318,4909,231,2409830,11340
Russia,Europe,145932745,576952,7889,8002,161,334592,10186,234358,2300,3954,55,16661287,114171
India,Asia,1379567062,411727,15915,13277,307,228181,13975,170269,8944,298,10,6616496,4796
UK,Europe,67875356,303110,1295,42589,128,,,,379,4466,627,7714201,113652
Spain,Europe,46754281,293018,363,28322,7,,,,617,6267,606,4826516,103232
Peru,South America,32956067,247925,,7660,,135520,,104745,1130,7523,232,1461266,44340
Italy,Europe,60464181,238275,264,34610,49,182453,546,21212,152,3941,572,4943825,81765
Chile,South America,19111018,236748,5355,4295,202,196609,5118,35844,1951,12388,225,943593,49374
Iran,Asia,83956634,202584,2322,9507,115,161384,2192,31693,2842,2413,113,1395675,16624
Germany,Europe,83776217,190992,332,8960,,174700,300,7332,376,2280,107,5029696,60037
Turkey,Asia,84309377,186493,1248,4927,22,158828,1312,22738,781,2212,58,2904744,34453
Pakistan,Asia,220732413,171666,6604,3382,153,63504,2121,104780,111,778,15,1042787,4724
Mexico,North America,128888616,170485,5030,20394,647,127332,4237,22759,378,1323,158,465867,3614
France,Europe,65269418,160093,641,29633,16,74117,,56343,715,2453,454,1384633,21214
Saudi Arabia,Asia,34794765,154233,3941,1230,46,98917,3153,54086,1955,4433,35,1248997,35896
Bangladesh,Asia,164636385,108775,3240,1425,37,43993,1048,63357,1,661,9,599579,3642
Canada,North America,37731670,100959,330,8410,64,63450,447,29099,1990,2676,223,2339563,62005
South Africa,Africa,59283506,92681,4966,1877,46,50326,2501,40478,208,1563,32,1293608,21821
Qatar,Asia,2807805,86488,1026,94,1,66763,1354,19631,224,30803,33,317694,113147
Colombia,South America,50865177,63276,,2045,,23988,,37243,335,1244,40,568324,11173
Belgium,Europe,11588139,60550,74,9696,1,16771,20,34083,50,5225,837,1098910,94831
Belarus,Europe,9449407,57936,603,343,6,36749,1474,20844,92,6131,36,842173,89124
Sweden,Europe,10097352,56043,,5053,,,,,272,5550,500,385659,38194
Egypt,Africa,102263012,53758,1547,2106,89,14327,399,37325,41,526,21,135000,1320
Ecuador,South America,17633668,49731,,4156,,24446,,21129,234,2820,236,137930,7822
Netherlands,Europe,17133798,49502,76,6089,8,,,,57,2889,355,517317,30193
Indonesia,Asia,273429272,45029,1226,2429,56,17883,534,24717,,165,9,621156,2272
UAE,Asia,9886410,44533,388,301,1,31754,758,12478,1,4504,30,3038000,307291
Singapore,Asia,5848906,41833,218,26,,34224,765,7583,1,7152,4,576189,98512
Argentina,South America,45182547,39570,,980,1,12206,355,26384,353,876,22,264604,5856
Kuwait,Asia,4268372,39145,467,319,6,30726,536,8100,180,9171,75,351636,82382
Portugal,Europe,10197475,38841,377,1528,1,24906,429,12407,70,3809,150,1047109,102683
Ukraine,Europe,43740134,35825,841,994,9,16406,373,18425,345,819,23,553737,12660
Poland,Europe,37847717,31620,304,1346,12,16181,483,14093,72,835,36,1320399,34887
Switzerland,Europe,8652664,31243,8,1956,,28900,,387,16,3611,226,502371,58060
Philippines,Asia,109531422,29400,941,1150,20,7650,272,20600,82,268,10,580346,5298
Iraq,Asia,40187366,29222,1870,1013,88,13211,1006,14998,212,727,25,425192,10580
Oman,Asia,5101359,28566,896,128,3,14780,806,13658,99,5600,25,154232,30234
Afghanistan,Asia,38894188,28424,546,569,21,8292,330,19563,19,731,15,63951,1644
Dominican Republic,North America,10844393,25778,710,655,8,14957,352,10166,174,2377,60,122646,11310
Ireland,Europe,4935970,25374,6,1715,1,22698,,961,16,5141,347,399259,80888
Panama,North America,4312367,24274,,485,,14359,,9430,107,5629,112,102703,23816
Romania,Europe,19240762,23730,330,1500,16,16735,180,5495,190,1233,78,619997,32223
Bolivia,South America,11667572,22476,977,715,18,4670,668,17091,71,1926,61,55114,4724
Bahrain,Asia,1698868,20916,,60,3,15287,,5569,34,12312,35,462627,272315
Israel,Asia,9197590,20633,294,305,1,15586,,4742,40,2243,33,804743,87495
Armenia,Asia,2963087,19708,551,332,13,8854,588,10522,10,6651,112,93786,31651
Nigeria,Africa,205934216,19147,,487,,6581,,12079,7,93,2,108548,527
Japan,Asia,126486413,17740,,935,,16008,,797,62,140,7,403380,3189
Austria,Europe,9004851,17323,52,688,,16175,34,460,8,1924,76,558208,61990
Kazakhstan,Asia,18769219,16779,428,118,5,10671,476,5990,121,894,6,1239138,66020
Moldova,Europe,4034207,13953,397,464,14,7745,220,5744,440,3459,115,63328,15698
Ghana,Africa,31048247,13717,514,85,15,10074,5526,3558,6,442,3,261319,8417
Serbia,Europe,8738259,12803,94,260,1,11511,,1032,18,1465,30,336553,38515
Guatemala,North America,17903374,12509,641,483,34,2419,129,9607,5,699,27,31427,1755
Denmark,Europe,5791610,12391,,600,,11282,,509,6,2139,104,876344,151313
S. Korea,Asia,51267965,12373,67,280,,10856,21,1237,15,241,5,1170901,22839
Azerbaijan,Asia,10136270,12238,471,148,5,6516,191,5574,66,1207,15,417102,41149
Algeria,Africa,43822095,11631,127,837,12,8324,128,2470,38,265,19,,
Honduras,North America,9899028,11258,519,349,6,1214,35,9695,13,1137,35,21540,2176
Cameroon,Africa,26519263,10638,,282,,7548,,2808,28,401,11,,
Czechia,Europe,10708422,10429,23,336,1,7477,4,2616,9,974,31,517283,48306
Morocco,Africa,36895998,9839,226,213,,8223,106,1403,7,267,6,522166,14152
Norway,Europe,5419919,8733,7,244,,8138,,351,5,1611,45,302659,55842
Nepal,Asia,29117669,8605,331,22,,1578,176,7005,,296,0.8,421465,14475
Malaysia,Asia,32351989,8556,21,121,,8146,76,289,3,264,4,679826,21013
Sudan,Africa,43808910,8416,100,513,7,3204,118,4699,,192,12,401,9
Australia,Australia/Oceania,25490075,7436,27,102,,6881,3,453,2,292,4,2002246,78550
Ivory Coast,Africa,26352025,7276,402,52,3,2992,50,4232,,276,2,44230,1678
Finland,Europe,5540479,7142,9,326,,6200,,616,2,1289,59,224400,40502
Uzbekistan,Asia,33452387,6153,207,19,,4290,17,1844,16,184,0.6,748555,22377
Senegal,Africa,16725811,5783,144,82,3,3859,71,1842,16,346,5,67855,4057
DRC,Africa,89443480,5672,195,125,3,807,88,4740,,63,1,,
Tajikistan,Asia,9529306,5399,61,52,1,3894,64,1453,,567,5,,
North Macedonia,Europe,2083376,5005,185,233,11,1904,41,2868,34,2402,112,50384,24184
Haiti,North America,11397877,4980,64,87,3,24,,4869,,437,8,9651,847
Guinea,Africa,13118017,4960,56,27,,3630,108,1303,24,378,2,14407,1098
Djibouti,Africa,987502,4565,,45,,3565,,955,,4623,46,43871,44426
Kenya,Africa,53725466,4478,104,121,2,1586,36,2771,7,83,2,130498,2429
El Salvador,North America,6485231,4475,146,93,7,2449,139,1933,131,690,14,137996,21279
Ethiopia,Africa,114849145,4469,399,72,,1122,93,3275,30,39,0.6,211871,1845
Gabon,Africa,2223657,4428,,34,,1750,,2644,9,1991,15,27030,12156
Luxembourg,Europe,625615,4105,6,110,,3951,7,44,,6562,176,144103,230338
Hungary,Europe,9660988,4086,5,570,2,2585,4,931,15,423,59,253100,26198
Bulgaria,Europe,6949675,3755,,193,,2008,,1554,17,540,28,114854,16527
Venezuela,South America,28438020,3591,,30,,835,,2726,7,126,1,1115041,39210
Bosnia and Herzegovina,Europe,3281312,3273,,169,,2241,,863,4,997,52,81030,24694
Greece,Europe,10424317,3256,19,190,1,1374,,1692,9,312,18,278895,26754
Thailand,Asia,69794989,3147,1,58,,3018,10,71,1,45,0.8,468175,6708
Kyrgyzstan,Asia,6520349,2981,192,35,3,1981,20,965,30,457,5,171161,26250
Mauritania,Africa,4644645,2813,192,108,6,696,43,2009,8,606,23,13842,2980
Somalia,Africa,15874637,2755,36,88,,751,27,1916,2,174,6,,
CAR,Africa,4826727,2686,81,19,,420,3,2247,2,556,4,20901,4330
Mayotte,Africa,272553,2404,10,31,2,2066,,307,8,8820,114,8800,32287
Cuba,North America,11326802,2309,4,85,,2071,34,153,1,204,8,148812,13138
Croatia,Europe,4105879,2299,19,107,,2142,,50,,560,26,72202,17585
Maldives,Asia,540198,2187,37,8,,1788,19,391,9,4049,15,35533,65778
French Guiana,South America,298366,2163,194,5,,890,50,1268,13,7249,17,277,928
Costa Rica,North America,5092635,2127,69,12,,1014,32,1101,5,418,2,34946,6862
Estonia,Europe,1326510,1981,2,69,,1758,3,154,1,1493,52,102486,77260
Sri Lanka,Asia,21410615,1950,,11,,1472,26,467,1,91,0.5,94260,4402
Mali,Africa,20226093,1923,,108,,1217,,598,,95,5,10532,521
Albania,Europe,2877881,1891,53,43,1,1126,12,722,7,657,15,20196,7018
South Sudan,Africa,11189366,1882,18,34,,122,,1726,2,168,3,9829,878
Nicaragua,North America,6621929,1823,,64,,1238,,521,,275,10,,
Iceland,Europe,341175,1822,3,10,,1801,,11,,5340,29,66542,195038
Lithuania,Europe,2723065,1795,3,76,,1470,8,249,16,659,28,390457,143389
Equatorial Guinea,Africa,1400925,1664,,32,,515,,1117,,1188,23,16000,11421
Slovakia,Europe,5459569,1586,10,28,,1447,,111,,290,5,201651,36935
Guinea-Bissau,Africa,1966161,1541,,17,,153,,1371,5,784,9,1500,763
Lebanon,Asia,6826209,1536,26,32,,1006,46,498,8,225,5,114386,16757
Slovenia,Europe,2078930,1519,6,109,,1359,,51,1,731,52,93520,44985
New Zealand,Australia/Oceania,5002100,1509,2,22,,1482,,5,,302,4,335167,67005
Madagascar,Africa,27662042,1503,60,13,,618,120,872,7,54,0.5,17905,647
Zambia,Africa,18362345,1430,,11,,1194,,225,1,78,0.6,47968,2612
Paraguay,South America,7129602,1362,26,13,,791,50,558,1,191,2,55827,7830
Sierra Leone,Africa,7970854,1309,11,53,,746,14,510,,164,7,,
Tunisia,Africa,11814592,1156,10,50,,1017,3,89,,98,4,65515,5545
Hong Kong,Asia,7495075,1129,1,5,1,1077,3,47,3,151,0.7,301108,40174
Latvia,Europe,1886653,1111,1,30,,903,,178,1,589,16,136567,72386
Niger,Africa,24165814,1035,15,67,,911,10,57,,43,3,6406,265
Jordan,Asia,10199864,1015,7,9,,722,14,284,3,100,0.9,325155,31878
Cyprus,Asia,1207087,985,,19,,818,,148,4,816,16,145169,120264
Yemen,Asia,29800547,922,3,254,3,328,40,340,,31,9,120,4
Burkina Faso,Africa,20879401,901,1,53,,810,,38,,43,3,,
Georgia,Asia,3989368,898,2,14,,752,11,132,5,225,4,83734,20989
Congo,Africa,5512640,883,,27,,391,,465,,160,5,,
Cabo Verde,Africa,555789,863,15,8,,377,,478,,1553,14,1307,2352
Chad,Africa,16405900,858,,74,,746,4,38,,52,5,,
Andorra,Europe,77262,855,,52,,792,,11,8,11066,673,3750,48536
Uruguay,South America,3473381,853,,24,,814,,15,4,246,7,56234,16190
Palestine,Asia,5096747,783,108,3,,437,,343,,154,0.6,44876,8805
Uganda,Africa,45677488,763,8,,,492,,271,,17,,155882,3413
Diamond Princess,,,712,,13,,651,,48,4,,,,
Rwanda,Africa,12939311,702,41,2,,357,6,343,,54,0.2,108005,8347
San Marino,Europe,33929,696,,42,,610,,44,,20513,1238,5501,162133
Sao Tome and Principe,Africa,219009,693,,12,,199,,482,,3164,55,1630,7443
Mozambique,Africa,31218676,688,20,4,,177,,507,,22,0.1,23104,740
Malta,Europe,441509,664,1,9,,616,3,39,,1504,20,87462,198098
Jamaica,North America,2960787,652,14,10,,458,,184,1,220,3,19617,6626
Benin,Africa,12110190,650,,11,,247,,392,2,54,0.9,53705,4435
Eswatini,Africa,1159774,627,4,5,1,285,9,337,5,541,4,6551,5649
Malawi,Africa,19109795,620,,8,,91,,521,4,32,0.4,8904,466
Liberia,Africa,5052986,601,20,33,,254,4,314,,119,7,,
Channel Islands,Europe,173812,570,,48,,512,,10,,3279,276,10255,59001
Togo,Africa,8271068,561,6,13,,366,5,182,2,68,2,27824,3364
Libya,Africa,6868097,520,,10,,83,,427,,76,1,19061,2775
Tanzania,Africa,59662353,509,,21,,183,,305,7,9,0.4,,
Réunion,Africa,895115,505,1,1,,460,,44,2,564,1,17200,19215
Zimbabwe,Africa,14855416,479,,4,,63,,412,,32,0.3,52905,3561
Taiwan,Asia,23815562,446,,7,,434,,5,,19,0.3,74699,3137
Montenegro,Europe,628064,359,4,9,,315,,35,,572,14,13186,20995
Vietnam,Asia,97310727,349,,,,326,,23,1,4,,275000,2826
Mauritius,Africa,1271709,337,,10,,325,,2,,265,8,152194,119677
